medication_id,medication_name
1,Amyvid
2,Quinidine Gluconate
3,Trulicity
4,TALTZ
5,AXIRON
6,Prozac
7,Strattera
8,Symbyax
9,Cymbalta
10,Zyprexa
11,Evista
12,Cialis
13,Verzenio
14,Effient
15,REOPRO
16,LARTRUVO
17,HUMATROPE
18,Gemzar
19,Humalog
20,Alimta
21,CYRAMZA
22,BASAGLAR
23,Portrazza
24,Glucagon
25,Forteo
26,Humulin
27,DAKLINZA
28,HALOG
29,KENALOG-40
30,NULOJIX
31,KENALOG-10
32,SPRYCEL
33,HYDREA
34,ELIQUIS
35,BARACLUDE
36,ZERIT
37,ORENCIA
38,AZACTAM
39,EMPLICITI
40,YERVOY
41,REYATAZ
42,EVOTAZ
43,OPDIVO
44,PRAVACHOL
45,DROXIA
46,Valcyte
47,Klonopin
48,Copegus
49,Boniva
50,Invirase
51,Xenical
52,CellCept
53,Pegasys
54,FUZEON
55,Mircera
56,Tamiflu
57,Xeloda
58,Anaprox DS
59,Naprosyn
60,EC-Naprosyn
61,Cytovene
62,BELSOMRA
63,PRINIVIL
64,FOSAMAX
65,STROMECTOL
66,PROPECIA
67,PROSCAR
68,JANUMET
69,JANUVIA
70,ISENTRESS
71,MAXALT
72,FOSAMAX PLUS D
73,ZONTIVITY
74,EMEND
75,ZOCOR
76,ZOLINZA
77,CRIXIVAN
78,HYZAAR
79,COZAAR
80,SINGULAIR
81,ZINPLAVA
82,KEYTRUDA
83,ZEPATIER
84,PRIMAXIN
85,TRUSOPT
86,MAXALT-MLT
87,CANCIDAS
88,INVANZ
89,SINEMET
90,Renflexis
91,BRIDION
92,COREG
93,DYAZIDE
94,HYCAMTIN
95,ARRANON
96,ARGATROBAN
97,PROMACTA
98,REQUIP
99,vinorelbine tartrate
100,Besponsa
101,North American Coral Snake Antivenin (Equine)
102,Pantoprazole Sodium
103,Effexor
104,Protonix
105,Rapamune
106,Duavee
107,Torisel
108,Pristiq
109,Trecator
110,Mylotarg
111,Tygacil
112,SOLU-MEDROL
113,Solu-Cortef
114,CORTEF
115,Halcion
116,Medrol
117,Xanax
118,Provera
119,Depo-Testosterone
120,Cleocin Hydrochloride
121,Bacitracin
122,Colestid
123,Depo-Estradiol
124,Depo-Medrol
125,Cleocin Phosphate
126,Glynase
127,Flavored Colestid
128,R-Gene
129,Lincocin
130,Depo-Provera
131,Cleocin Pediatric
132,Prostin
133,Hemabate
134,Camptosar
135,Cleocin T
136,Prepidil
137,Cleocin
138,Caverject
139,Corvert
140,Detrol
141,Depo-SubQ Provera
142,Zyvox
143,Glyset
144,Ellence
145,SOMAVERT
146,Caverject Impulse
147,Detrol LA
148,Nicotrol
149,Cleocin Phosphate (0009-6582) (Standalone)
150,Aromasin
151,Azulfidine
152,Emcyt
153,Cyklokapron
154,Estring
155,Idamycin PFS
156,GENOTROPIN
157,Mycobutin
158,Xalatan
159,Zinecard
160,MEGACE
161,IXEMPRA
162,LYSODREN
163,ETOPOPHOS
164,Cysto-Conray II
165,Conray 30
166,Conray
167,OPTIMARK
168,SODIUM CHLORIDE
169,MD-76R
170,Optiray
171,Conray 43
